id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ALINEA,0.13346058,0.1363025,0.13959953,0.14060676,0.13275309,0.13145715,0.14358503,0.12926841,0.13652265,0.13765296,0.14362691,0.13629214,0.13802278,0.14038411,0.1411027,0.13999256
WILLY WONKA,0.084763646,0.08656935,0.086102836,0.08674788,0.08308815,0.08528402,0.08900572,0.08109414,0.08483616,0.0852701,0.08552047,0.084861666,0.087109655,0.08688515,0.087777674,0.08749731
LAMB 86,0.08155069,0.08274041,0.084281966,0.08541552,0.080357544,0.08096558,0.08330997,0.079052195,0.08139905,0.082607836,0.084516555,0.081371844,0.083478525,0.08372787,0.084286265,0.08297628
"HOT POTATO, COLD POTATO",0.0899117,0.09022564,0.09089592,0.093087144,0.08871223,0.08763122,0.09365508,0.08568083,0.08939104,0.09052814,0.09248051,0.09132997,0.09224033,0.091091946,0.0906567,0.089426205
BLACK TRUFFLE EXPLOSION,0.10176337,0.100576974,0.10211474,0.10363006,0.09867587,0.09718938,0.10179745,0.09502962,0.10192762,0.103287295,0.10109535,0.10251876,0.10361165,0.10392073,0.10325909,0.101490855
GREEN APPLE HELIUM BALLOON,0.07328318,0.07464351,0.07461772,0.074041575,0.07285634,0.07288104,0.07671808,0.07108685,0.073374085,0.073798314,0.077089325,0.07351655,0.07613828,0.07549585,0.07455581,0.07517165
LIQUID NITROGEN,0.07850403,0.080994435,0.08160694,0.08288632,0.079279974,0.08031041,0.08457022,0.074940786,0.079229265,0.080615744,0.08254218,0.08076533,0.08289392,0.08350002,0.08345373,0.08109636
FOUR HOURS AND THIRTY-NINE MINUTES,0.076495275,0.07694274,0.078442216,0.08095659,0.07582232,0.07684113,0.079413936,0.07496685,0.077698804,0.08048945,0.08028373,0.078820765,0.07874447,0.07920651,0.07866429,0.07825551
SERVERS,0.15785928,0.1582737,0.15911469,0.16093189,0.15339202,0.15475556,0.16209331,0.1494187,0.15780187,0.15956706,0.16006514,0.1589475,0.15929407,0.16270977,0.1571815,0.16102615
BOWLS,0.07185406,0.07281014,0.07252869,0.07379774,0.070367955,0.0701417,0.07405034,0.0673076,0.0719098,0.072122306,0.07258421,0.07415889,0.07269955,0.072876595,0.074275725,0.072099045
GLASS STRAWS,0.08259619,0.08400437,0.08319385,0.08558244,0.08143577,0.08218144,0.083782144,0.08038224,0.08340142,0.08441855,0.08412103,0.0843547,0.08333748,0.085181825,0.08443326,0.08319327
ICE MELT,0.102803156,0.10187088,0.10549338,0.106204584,0.10117227,0.10330139,0.1075256,0.09934118,0.10373703,0.105468884,0.10570334,0.10468538,0.10601456,0.107706346,0.10679814,0.1051089
PEBBLES,0.07731863,0.07838365,0.07889739,0.079720214,0.07596963,0.07622459,0.080774404,0.07577863,0.076559775,0.078398116,0.07864639,0.07807426,0.07900307,0.07917449,0.080879234,0.07812157
FLAVORS,0.08741166,0.0908036,0.08784152,0.09103099,0.086990476,0.08671449,0.090160415,0.08371863,0.08726327,0.08739148,0.08895481,0.08916223,0.08898389,0.08816618,0.08910653,0.08934426
DISHES,0.0730446,0.075061195,0.07261336,0.0736786,0.07249564,0.07154497,0.075582504,0.06883782,0.071645305,0.07312375,0.073821664,0.07231997,0.07326129,0.07378374,0.07372147,0.072201155
GRANT ACHATZ,0.063845746,0.066949904,0.06717636,0.06765507,0.064401895,0.06438546,0.0667333,0.06345947,0.06426248,0.06615451,0.06664169,0.06581776,0.066917285,0.06583338,0.06761144,0.06605081
DESSERT,0.06129075,0.060852222,0.062034544,0.062281698,0.06181688,0.060959052,0.062304102,0.05964867,0.0607875,0.06149319,0.061919793,0.059752688,0.062512144,0.061202694,0.0625177,0.06079957
KITCHEN TOUR,0.06241828,0.06370817,0.06472463,0.06511099,0.06324279,0.062725425,0.06620008,0.061570585,0.06413884,0.06426789,0.0644007,0.06534141,0.06444715,0.064760685,0.06582594,0.0640036
EVENING,0.09364354,0.09334401,0.093102135,0.095860414,0.09075903,0.09267436,0.09691002,0.08979098,0.094281115,0.094656244,0.09599056,0.095409356,0.09625892,0.097257674,0.09608329,0.094484314
MEAL,0.045439705,0.045996945,0.04555966,0.04605271,0.045133293,0.04332118,0.046784706,0.04344635,0.044091254,0.04503619,0.045341246,0.045109056,0.045455486,0.045199104,0.045449078,0.044644367
CHEFS,0.07832338,0.07884066,0.07827099,0.08157575,0.07516482,0.077969,0.07969828,0.07590377,0.077614844,0.07934144,0.078983076,0.07912615,0.081207976,0.07970731,0.081439376,0.07994847
BLOCKS OF ICE,0.08334736,0.08423592,0.08427142,0.084464535,0.08165851,0.08195199,0.08526184,0.078685105,0.082504705,0.08522625,0.08516553,0.084059365,0.08600715,0.086158484,0.0857622,0.08444756
TABLE,0.058435354,0.058986235,0.059556536,0.058312695,0.057000685,0.057280764,0.05908951,0.05659514,0.05856606,0.05790542,0.05994712,0.05869747,0.05910807,0.060150016,0.059769146,0.059565775
FOOD,0.049197394,0.05008371,0.05078934,0.049959347,0.049212858,0.049687292,0.051014848,0.048259757,0.050413273,0.050060194,0.04920057,0.050028235,0.049223833,0.049853243,0.049880125,0.04944566
SERVICE,0.035103746,0.035729527,0.03577982,0.03527485,0.034858797,0.034611024,0.03463749,0.0339519,0.03496453,0.034743,0.03521386,0.035261303,0.03559713,0.035170965,0.03579504,0.03429487
EXPERIENCE,0.030604223,0.03156993,0.030604834,0.030551048,0.030168865,0.031136908,0.031965494,0.029835321,0.031106587,0.03002017,0.031183716,0.030809749,0.030908572,0.031128356,0.031227406,0.03205589
BALLOON,0.062345315,0.062580355,0.06328885,0.06421704,0.06328595,0.06268346,0.0638749,0.061052367,0.06279873,0.06386,0.064445004,0.06263539,0.06399442,0.065729834,0.06467797,0.06351134
RESERVATION,0.03577588,0.036202025,0.037430912,0.03648462,0.03580732,0.035426207,0.037495993,0.036000326,0.036741655,0.037325755,0.03720981,0.03713491,0.036124837,0.03698396,0.037978716,0.038003035
FRENCH LAUNDRY,0.06461191,0.06558858,0.06752383,0.06705261,0.06397588,0.065955855,0.06620126,0.063486725,0.065410145,0.06556328,0.06784909,0.06712499,0.06706424,0.06592578,0.068665296,0.065752655
BENU,0.09837287,0.09835161,0.09799647,0.0985996,0.0952765,0.09584448,0.100900486,0.09306161,0.0955925,0.09823747,0.098982915,0.09838533,0.10052462,0.09958662,0.0990172,0.0983967
DANIEL,0.056566298,0.056952238,0.0570231,0.0555237,0.0554056,0.055455584,0.05697231,0.05367853,0.05595964,0.0552511,0.055925593,0.055322185,0.05778835,0.057013318,0.057132103,0.056297008
CYRUS,0.09490749,0.095356785,0.09728169,0.09849032,0.09257452,0.094217524,0.10026014,0.09129153,0.094761714,0.09683178,0.09680246,0.097828254,0.09781495,0.09854328,0.098810405,0.09772399
BAZAAR,0.08623497,0.087218724,0.08773202,0.08907597,0.08361746,0.08663683,0.090832375,0.08367285,0.08463737,0.088669345,0.089243814,0.08884111,0.08899736,0.089579865,0.086802624,0.087388426
