id,text
1,"Unlike Next, which we'd eaten at the previous night, where each dish is completely recognizable but notable for being the best possible incarnation of itself, Alinea delivers a meal created by Willy Wonka, with all the rules thrown out the window. I won't recount every course, just highlight the dishes that made me laugh, or let me know this was a restaurant like no other, a place where there were no rules that had to be followed, a sanctuary which allowed a chef freedom to go wherever imagination led. For example, while the beverage choices were explained, six bowls containing blocks of ice resting on beds of pebbles were placed on the table, without a word being said about what they were for. Each block had a hole drilled in the center, and once we'd made our decisions about what we'd be drinking, servers then came to the table with glass straws filled with steelhead roe in a liquid and stoppered at either end with foam. We were instructed to take our straws, fit them into the perfectly sized hole, now filled with ice melt, and inhale the mixture in a single slurp as quickly and as loudly as we could. The frigid rush of roe and herbs and peach (I'm unsure whether that fruit flavor came from the straw or the melt) was sweet and salty and made us giggle, a perfect start to the most unusual meal of my life. For Lamb 86, we were each presented with a narrow plate containing three perfect pieces of lamb, each prepared in a different manner, and two plexiglas shields were placed in the center of the table, each with 86 different garnishes, none of them identified, but all, we were promised, fitting accompaniments to the lamb. I cut the three tender servings into three smaller pieces so I could experience more of the flavor combinations, and the table turned into a guessing game as we each plucked the sides that tempted us and tried to identify what we'd chosen. Not every course was as unusual in its presentation as that. Some courses astonished with their perfection alone. Hot Potato, Cold Potato, which we were told was one of the oldest courses that still remained on the Alinea menu, consisted of a paraffin bowl filled with cold potato soup, while a hot potato and a piece of truffle were held aloft by a skewer which went through the lip of the bowl. We were to pull the pin, and the moment the two ingredients met, we were to toss it back, so the soup had no time to warm, the potato no time to chill, and the two flavors and temperatures only came together on the tongue. Then there was the Black Truffle Explosion, which was served on a spoon, and to be chewed with closed lips, so none of the delectable juice escaped. These awed not by the science fictional nature of their presentations, but from the precise combination of their ingredients, eaten at exactly the right moment. One course that makes clear why a dish must be eaten when served is the green apple helium balloon, which if not ingested upon delivery, would, I fear, end up collapsing upon itself before eaten. The skin of the balloon as well as the string with which we held it were both made of apply taffy, and we were told to press our lips against the balloon, take a bite, and inhale. My mouth filled immediately with the intense flavor of apple--and with helium as well, of course--so we were all soon talking about how amazing it tasted while sounding like Mickey and Minnie Mouse. For our final course, the table was cleared, and we were asked to lift our glasses as a silicone covering was rolled out. Servers then brought many small bowls, two metal jugs sweating with condensation, and three white globes with circular holes in their tops. Then two chefs arrived, and began spooning out the contents of the bowls onto the table, scattering them like culinary Jackson Pollacks as they identified each--freeze-dried strawberry, English pea, buttermilk cream, and so on. Then the chefs each lifted a jug and announced, ""liquid nitrogen,"" and poured the contents into the white globes, which caused a fog to rise and cover the table. Finally, the chefs lifted the globes, which were made of white chocolate, and smashed them upon the table, revealing the goodies within--meringues, cotton candy, miniature jelly donuts, condensed honeydew melon, and more. After which we took our spoons and attacked, not making as much of a dent as the creation deserved. At meal's end, we stepped out of the restaurant ... four hours and thirty-nine minutes after we had arrived. Yes. The meal took four hours and thirty-nine minutes. But I assure you that it did not feel as if that much time had passed, because ... oh, I'm going to go into cliche mode now, but you know how it's sometimes said that time stood still? Well, time didn't stand still, per se, but ... let's just say that while we were in Alinea, it didn't exist. We were outside of time, in a pocket universe all to ourselves."
2,Probably one of the best meals I've had ever. It's a performance of what food can be. Having Grant Achatz prepare our dessert was amazing and getting a tour of the kitchen and prep areas downstairs by him personally was even better. Be prepared for an evening and come prepared to sit for a least 4 hours or more. One word to describe it = Awesome!!!
3,"Unlike Next, which we'd eaten at the previous night, where each dish is completely recognizable but notable for being the best possible incarnation of itself, Alinea delivers a meal created by Willy Wonka, with all the rules thrown out the window. I won't recount every course, just highlight the dishes that made me laugh, or let me know this was a restaurant like no other, a place where there were no rules that had to be followed, a sanctuary which allowed a chef freedom to go wherever imagination led. For example, while the beverage choices were explained, six bowls containing blocks of ice resting on beds of pebbles were placed on the table, without a word being said about what they were for. Each block had a hole drilled in the center, and once we'd made our decisions about what we'd be drinking, servers then came to the table with glass straws filled with steelhead roe in a liquid and stoppered at either end with foam. We were instructed to take our straws, fit them into the perfectly sized hole, now filled with ice melt, and inhale the mixture in a single slurp as quickly and as loudly as we could. The frigid rush of roe and herbs and peach (I'm unsure whether that fruit flavor came from the straw or the melt) was sweet and salty and made us giggle, a perfect start to the most unusual meal of my life. For Lamb 86, we were each presented with a narrow plate containing three perfect pieces of lamb, each prepared in a different manner, and two plexiglas shields were placed in the center of the table, each with 86 different garnishes, none of them identified, but all, we were promised, fitting accompaniments to the lamb. I cut the three tender servings into three smaller pieces so I could experience more of the flavor combinations, and the table turned into a guessing game as we each plucked the sides that tempted us and tried to identify what we'd chosen. Not every course was as unusual in its presentation as that. Some courses astonished with their perfection alone. Hot Potato, Cold Potato, which we were told was one of the oldest courses that still remained on the Alinea menu, consisted of a paraffin bowl filled with cold potato soup, while a hot potato and a piece of truffle were held aloft by a skewer which went through the lip of the bowl. We were to pull the pin, and the moment the two ingredients met, we were to toss it back, so the soup had no time to warm, the potato no time to chill, and the two flavors and temperatures only came together on the tongue. Then there was the Black Truffle Explosion, which was served on a spoon, and to be chewed with closed lips, so none of the delectable juice escaped. These awed not by the science fictional nature of their presentations, but from the precise combination of their ingredients, eaten at exactly the right moment. One course that makes clear why a dish must be eaten when served is the green apple helium balloon, which if not ingested upon delivery, would, I fear, end up collapsing upon itself before eaten. The skin of the balloon as well as the string with which we held it were both made of apply taffy, and we were told to press our lips against the balloon, take a bite, and inhale. My mouth filled immediately with the intense flavor of apple--and with helium as well, of course--so we were all soon talking about how amazing it tasted while sounding like Mickey and Minnie Mouse. For our final course, the table was cleared, and we were asked to lift our glasses as a silicone covering was rolled out. Servers then brought many small bowls, two metal jugs sweating with condensation, and three white globes with circular holes in their tops. Then two chefs arrived, and began spooning out the contents of the bowls onto the table, scattering them like culinary Jackson Pollacks as they identified each--freeze-dried strawberry, English pea, buttermilk cream, and so on. Then the chefs each lifted a jug and announced, ""liquid nitrogen,"" and poured the contents into the white globes, which caused a fog to rise and cover the table. Finally, the chefs lifted the globes, which were made of white chocolate, and smashed them upon the table, revealing the goodies within--meringues, cotton candy, miniature jelly donuts, condensed honeydew melon, and more. After which we took our spoons and attacked, not making as much of a dent as the creation deserved. At meal's end, we stepped out of the restaurant ... four hours and thirty-nine minutes after we had arrived. Yes. The meal took four hours and thirty-nine minutes. But I assure you that it did not feel as if that much time had passed, because ... oh, I'm going to go into cliche mode now, but you know how it's sometimes said that time stood still? Well, time didn't stand still, per se, but ... let's just say that while we were in Alinea, it didn't exist. We were outside of time, in a pocket universe all to ourselves."
4,Probably one of the best meals I've had ever. It's a performance of what food can be. Having Grant Achatz prepare our dessert was amazing and getting a tour of the kitchen and prep areas downstairs by him personally was even better. Be prepared for an evening and come prepared to sit for a least 4 hours or more. One word to describe it = Awesome!!!
5,"Service was impeccable. Experience and presentation was cool. Eating a balloon was fun. Trying to make a reservation was ridiculous. Food was not mouth watering, tasted like it it was made in a lab. I appreciate delicious food, so I don't get the hype here."
6,"The problem with places like this, given the exhorbitant cost, media attention, and stellar reviews, is that the bar is set so high, it's nearly impossible to meet those expectations. To set expectations, the meal, including wine pairing, totaled $564 per person in our party of 6. Now, I'm no stranger to spending a lot on fine dining- The French Laundry, Benu, Daniel, Cyrus, and the Bazaar were all extravagant and decadent dining experiences I've been fortunate to enough to try. I felt each of them offered something in the way of transcendent flavors, over the top service, and/or that little something extra to justify the value proposition. All in all, I felt Alinea failed to provide that value. Were the dishes innovative and unique? Yes. Was presentation whimsical, playful, and imaginative? Yes. Was service attentive and informed? Yes. However, was the experience as a whole better than others in this class? No. Was it worth it? NO. Maybe this comes down to personal preference. I'm more a fan of precise, classic plating techniques over the Jackson Pollock style presentation I found on most of the dishes here. Dessert was *SPOILER ALERT* served by Grant Achatz himself LITERALLY shattering a filled white chocolate egg all over our (nicely prepared) table. We were then given spoons. I also had issue with the distinct lack of traditional luxury ingredients. I understand the idea behind creative and non-traditional use of ingredients. But for my money, I'd rather have a nice scoop of caviar rather than a crazy, what-am-I-eating composition of discarded corn products (corn silk, corn smut [huitlacoche], and corn husk). Indeed, the waiter rather cheerfuly informed us that yes, in fact, we were eating trash! The myriad rules and regulations were also off-putting. Buy your ticket online. Wear a jacket. Show up 30 minutes prior to your reservation. Eat this dish in 5 seconds before it decomposes in your hands. Despite the whimsy of the dishes, I felt that the place, the whole experience, simply took itself too seriously. In the end, Alinea will be a once in a lifetime experience for me, because I simply can't justify going back."
7,"I have no idea how to write my review - dining at Alinea brings a whole different perspective to food, life and Chicago! I think everyone has a unique experience with the food - ingredients and presentation - but two things I'll highlight about my personal experience are: 1) This was an amazingly vegetarian friendly place for the experience. After you've bought a ticket, they'll call to ask a few days ahead of the reservation about any dietary restrictions and that's when they record vegetarian. I didn't feel that we missed out on even an ounce of the experience that non-vegetarians have. in fact, I admire the kitchen's ability to do such a great job with it! 2) this place is very unique and of course, expensive, but not a single staff member here was pretentious or stiff - they took a lot of pride in what they do but in a natural friendly way (the American way as my dining partner put it). You can be comfortable, natural and just enjoy."
8,"Despite the first-world tragedy I endured in an effort to get reservations (see my first review for details), I did miraculously manage to secure a table for my party of four. The short version: It was whimsical. It was innovative. It was the best meal of my life. The long version: There is a moment of anxiety and excitement before dining at Alinea. You've heard the stories, or maybe you've read up on molecular gastronomy. Then you arrive and the doorman gestures toward a dark, Willy Wonka-esque hallway that gets more narrow with each step. You think you've hit a dead end when, seemingly out of nowhere, a door slides gracefully open. As you gaze upon the host's smiling face, you realize: that moment outside wasn't a moment after all. This feeling is going to last as long as your dining experience does. And so, it begins. Each course will come out, meticulously plated, with an experienced and friendly waiter right beside you, explaining how to eat what's been set forth in front of you. Without giving away too many specifics of the ever-changing menu, I will say you're likely to find yourself sucking up one course through a test tube, kissing another, eating one course without any hands, and another directly off the table. Intrigued? Then I'll continue! Should you choose to do wine pairings with each course, which I strongly recommend, the sommelier will pour you a smorgasbord of varietals, including a few you've probably never heard of before (ie: Zibibbo). With each pour, there will be an accompanying story about where the wine came from, and why the flavors within make it the perfect pairing. Overall: Grant Achatz's progressive style of cuisine is pure genius, and the experience is joyous and genuinely enchanting. For better or worse, I guarantee you will leave with a new perspective on the unbounded future of the culinary arts. I hope to someday return to Chicago and do it all over again! Counsel: ""Like"" Alinea's Facebook page for up-to-date information on when new reservations will be released, same-day dining options, and upcoming projects, such as their forthcoming collaboration with New York's Eleven Madison Park."
9,"Overall, was it worth the hype? Yes and more. Was it worth every penny? Hell yes! Is it a life changing food experience? Yes! Will I be coming back? You bet! Soon? Probably not, it definitely broke the bank and I'd also like to see a different menu. Truly 5-star experience. I was able to snag a 2-top ticket from their new ticketing system, which isn't hard to obtain as long as you follow them on Facebook or twitter and you check fairly regularly. The meal at the end of the day ran me nearly $1000, which I will say without hesitation was the best $1000 I've ever spent. Everything from the food, wine pairing, service (sort of), atmosphere, was everything you paid for and more. They only have a prix-fixe menu of 15-17 items, mostly all of them were excellent. They all emphasized the pure flavors of the ingredients such as the corn as well as the tomato (both fantastic and one our favorites). Other courses emphasized the subtleties and complementary flavors such as the chanterelle (probably our favorite of the evening). Other items were shock and awe like the lamb with 52 different complementary ingredients, which was fun and interactive (good but by far not the best dish) and the apple balloon with edible string (by far the most fun dish). Other courses emphasized a whole new experience, like the black truffle explosion and the white chocolate dessert made table-side by the chef. Even after 2-plus weeks after eating there, there were a lot of items that I still remember every aspect, this was truly a life-changing meal. Other aspects of the restaurant like the decor itself was nice and dimly lit. The service overall was flawless, but some of the staff was not very friendly and a little stuck-up. Our main server however was fairly interactive and friendly. The kitchen tour was amazing as well, spotless and got a chance to do one of our courses prepared on the spot. Though we did not get to meet Chef Achatz, his current chef there was friendly, articulate, and still producing magnificent food. I would certainly like to see him open his own restaurant in the future. If you made it this far in my review and probably others, just do yourself a favor and just grab a ticket and a date and eat here. You won't regret it. **One additional note here** After eating at Charlie Trotter's about a month before and paying nearly $500 per person with wine. Trotter's didn't come anywhere near to what Alinea produced in terms of experience and food. Although, the wine pairings there were superior."
10,"There are already TONS of professional & amateur reviews of Alinea, you can read through them if you want to get into the details. I'll spend my time here throwing out some general impressions, in no particular order. Enjoy! - Book (buy tickets) way, way, way in advance. This place is booked for at least two months out. - Mental prep - don't over-hype this place before your first visit. Like most other fine dining restaurants, this place is very, very good. However, if you keep thinking this is supposed to be the #1 rated restaurant in the U.S., you're likely to leave disappointed (like my wife and I). - Dinner for the 6 of us took over 6 hours to complete. Make sure you go with fun, good company. Even for couples...it's hard to have a 3-hour dinner together...we saw many bored couples that didn't talk. - Dress nice. Real nice. 'nuff said. - Don't go cheap here. If you are already spending this much on dinner, might as well get the wine pairing (if you like to drink different kinds of wine). Or, if you're like us and don't drink that much, just get a bottle. Expect to spend about $800 - $1,000 for two people. - The food profiles are innovative and presentation was visually stunning. It takes a true genise to come up with each course. However, my wife and I were only ""knock our socks off wowed"" by just a few courses. We particularly liked the razor clams, crab, and mushrooms served on heated stones. - Service - it's nice, but less formal / attentive than what I would expect at a place like this. Not that we enjoy a place that is super formal and stuffy, but it felt a bit too casual for us. - We also would have appreciated a bit more explanation of what we are eating before each course. Our waiter just didn't know or wanted to spend the time to explain. In fact, it was a bit annoying that he wants us to guess what we were eating. Really annoying, now that I think about it again. We paid good money to eat there, show an effort to explain things. - Just to be clear, none of the courses tasted bad. We were just looking to be wowed by each course...and it didn't happen. - Dessert - while seeing them prepare it in front of us was cool, it really wasn't that complex and the taste was a bit disappointing. - Valet - it's only $11, do it. It's a nice touch that they already have the car pulled up front waiting for you by the time you walk out the door."
